x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second,distance_to_goal,angle_to_goal,is_central_zone,is_left_side,is_right_side
87.6,30.6,Left Foot,Normal,0,0,0,0.016586503,Paris Saint-Germain,Layvin Kurzawa,33,51,33.73603414748094,0.22497223140100492,1,1,0
115.0,47.0,Head,Normal,0,0,0,0.093902856,Paris Saint-Germain,Layvin Kurzawa,36,0,8.602325267042627,1.2637624630824713,1,0,1
88.3,41.8,Right Foot,Normal,0,0,0,0.02337752,Paris Saint-Germain,Hervin Scicchitano Ongenda,42,33,31.75106297433206,0.22989689243512199,1,0,1
82.0,43.0,Right Foot,Normal,0,0,0,0.007933561,Paris Saint-Germain,Hervin Scicchitano Ongenda,45,31,38.118237105091836,0.19203920882390113,1,0,1
110.4,36.5,Head,Normal,1,0,0,0.09951289,Paris Saint-Germain,Layvin Kurzawa,46,5,10.21812115802117,0.7284776635273387,1,1,0
99.7,43.9,Right Foot,Normal,0,0,0,0.07367071,Paris Saint-Germain,Jean-Kévin Augustin,47,5,20.67123605399541,0.35675842831041055,1,0,1
112.8,39.5,Other,Normal,1,0,0,0.41436857,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,49,26,7.217340230306456,0.9405840589829914,1,1,0
108.1,40.1,Right Foot,Normal,0,0,1,0.7835,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,55,10,11.900420160649796,0.5967616520006681,1,0,1
89.5,43.0,Right Foot,Normal,0,0,0,0.024788948,Paris Saint-Germain,Hervin Scicchitano Ongenda,57,26,30.64718584144391,0.23885785203667692,1,0,1
108.7,34.8,Right Foot,Normal,1,0,1,0.15288496,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,70,55,12.439051410778877,0.6264621174246395,1,1,0
90.4,37.6,Right Foot,Normal,0,0,0,0.021288106,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,72,45,29.69713790923293,0.24604842533160493,1,1,0
97.3,45.2,Right Foot,Normal,0,0,0,0.03591525,Paris Saint-Germain,Zlatan Ibrahimović,5,0,23.287979732042025,0.31971544299245214,1,0,1
106.7,47.0,Right Foot,Normal,1,1,0,0.19074292,Paris Saint-Germain,Blaise Matuidi,8,33,15.02963738750872,0.5370819132981387,1,0,1
115.7,50.7,Right Foot,Half Volley,0,0,1,0.06900461,Paris Saint-Germain,Zlatan Ibrahimović,14,19,11.531695452100703,1.4103374738471028,0,0,1
107.2,29.3,Right Foot,Normal,0,1,0,0.13574347,Paris Saint-Germain,Hervin Scicchitano Ongenda,24,1,16.683225107874076,0.557012029519016,0,1,0
100.8,44.7,Right Foot,Normal,0,0,1,0.08990443,Paris Saint-Germain,Zlatan Ibrahimović,33,29,19.76689151080665,0.37673020187695294,1,0,1
108.9,42.4,Head,Normal,0,0,0,0.0725269,Paris Saint-Germain,Thiago Emiliano da Silva,39,23,11.356495938448615,0.6370076251165314,1,0,1
